patient_id,slide_id,stain,slide_path,magnification,source_level,read_size,out_size,base_mpp,target_mpp,tile_x,tile_y,tissue_score,attn,raw_logit
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,2048,2560,0.6777,0.08366357,-0.051830083
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,2048,2048,0.7456,0.083559625,-0.05307327
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,14848,4608,0.6458,0.08347459,-0.054091405
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,1536,3072,0.6455,0.083427295,-0.054658204
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,14336,5120,0.6621,0.083367676,-0.055373028
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,14336,6144,0.7847,0.083337665,-0.05573311
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,1536,3584,0.8362,0.0832926,-0.056273986
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,1536,4608,0.5208,0.083287835,-0.056331217
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,2048,1536,0.6597,0.08324461,-0.056850363
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,14848,4096,0.6526,0.083136,-0.058155946
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,14336,5632,0.8616,0.08312867,-0.058244027
30-10125,74f87672,MT,D:\chym_aki_data\qc_pass\MT\30-10125_MT_74f87672.svs,10,1,512,512,0.2527,1.0108,1536,4096,0.8152,0.083079785,-0.058832295
